"Data-Hora";"Activa";"Valida̤̣o";"Reactiva Indutiva";"Valida̤̣o";"Reactiva Capacitiva";"Valida̤̣o";
"01-01-2014 00h15";5;0;0;0;2;0;
"01-01-2014 00h30";5;0;0;0;2;0;
"01-01-2014 00h45";5;0;0;0;1;0;
"01-01-2014 01h00";5;0;0;0;2;0;
"01-01-2014 01h15";5;0;0;0;2;0;
"01-01-2014 01h30";5;0;0;0;2;0;
"01-01-2014 01h45";5;0;0;0;2;0;
"01-01-2014 02h00";5;0;0;0;1;0;
"01-01-2014 02h15";5;0;0;0;2;0;
"01-01-2014 02h30";5;0;0;0;2;0;
"01-01-2014 02h45";5;0;0;0;2;0;
"01-01-2014 03h00";5;0;0;0;2;0;
"01-01-2014 03h15";5;0;0;0;2;0;
"01-01-2014 03h30";5;0;0;0;1;0;
"01-01-2014 03h45";5;0;0;0;2;0;
"01-01-2014 04h00";5;0;0;0;2;0;
"01-01-2014 04h15";5;0;0;0;2;0;
"01-01-2014 04h30";5;0;0;0;2;0;
"01-01-2014 04h45";5;0;0;0;1;0;
"01-01-2014 05h00";6;0;0;0;2;0;
"01-01-2014 05h15";5;0;0;0;2;0;
"01-01-2014 05h30";5;0;0;0;2;0;
"01-01-2014 05h45";5;0;0;0;1;0;
"01-01-2014 06h00";5;0;0;0;2;0;
"01-01-2014 06h15";5;0;0;0;2;0;
"01-01-2014 06h30";5;0;0;0;2;0;
"01-01-2014 06h45";5;0;0;0;2;0;
"01-01-2014 07h00";5;0;0;0;1;0;
"01-01-2014 07h15";5;0;0;0;2;0;
"01-01-2014 07h30";5;0;0;0;2;0;
"01-01-2014 07h45";6;0;0;0;2;0;
"01-01-2014 08h00";5;0;0;0;1;0;
"01-01-2014 08h15";5;0;0;0;2;0;
"01-01-2014 08h30";6;0;0;0;2;0;
"01-01-2014 08h45";5;0;0;0;2;0;
"01-01-2014 09h00";6;0;0;0;2;0;
"01-01-2014 09h15";5;0;0;0;1;0;
"01-01-2014 09h30";6;0;0;0;2;0;
"01-01-2014 09h45";6;0;0;0;2;0;
"01-01-2014 10h00";6;0;0;0;1;0;
"01-01-2014 10h15";6;0;0;0;2;0;
"01-01-2014 10h30";6;0;0;0;1;0;
"01-01-2014 10h45";7;0;0;0;2;0;
"01-01-2014 11h00";6;0;0;0;1;0;
"01-01-2014 11h15";6;0;0;0;2;0;
"01-01-2014 11h30";8;0;0;0;1;0;
"01-01-2014 11h45";21;0;11;0;0;0;
"01-01-2014 12h00";27;0;14;0;0;0;
"01-01-2014 12h15";22;0;10;0;0;0;
"01-01-2014 12h30";15;0;6;0;0;0;
"01-01-2014 12h45";16;0;5;0;0;0;
"01-01-2014 13h00";15;0;6;0;0;0;
"01-01-2014 13h15";15;0;5;0;0;0;
"01-01-2014 13h30";16;0;6;0;0;0;
"01-01-2014 13h45";15;0;5;0;0;0;
"01-01-2014 14h00";15;0;6;0;0;0;
"01-01-2014 14h15";10;0;1;0;2;0;
"01-01-2014 14h30";9;0;0;0;1;0;
"01-01-2014 14h45";9;0;0;0;2;0;
"01-01-2014 15h00";16;0;5;0;0;0;
"01-01-2014 15h15";20;0;8;0;0;0;
"01-01-2014 15h30";20;0;8;0;0;0;
"01-01-2014 15h45";20;0;8;0;0;0;
"01-01-2014 16h00";10;0;1;0;2;0;
"01-01-2014 16h15";11;0;2;0;1;0;
"01-01-2014 16h30";12;0;2;0;1;0;
"01-01-2014 16h45";19;0;8;0;0;0;
"01-01-2014 17h00";20;0;8;0;0;0;
"01-01-2014 17h15";20;0;8;0;0;0;
"01-01-2014 17h30";14;0;3;0;1;0;
"01-01-2014 17h45";10;0;0;0;2;0;
"01-01-2014 18h00";9;0;0;0;1;0;
"01-01-2014 18h15";9;0;0;0;2;0;
"01-01-2014 18h30";14;0;5;0;0;0;
"01-01-2014 18h45";15;0;6;0;0;0;
"01-01-2014 19h00";16;0;6;0;0;0;
"01-01-2014 19h15";15;0;6;0;0;0;
"01-01-2014 19h30";15;0;5;0;0;0;
"01-01-2014 19h45";16;0;6;0;0;0;
"01-01-2014 20h00";15;0;6;0;0;0;
"01-01-2014 20h15";15;0;5;0;0;0;
"01-01-2014 20h30";11;0;2;0;1;0;
"01-01-2014 20h45";10;0;0;0;2;0;
"01-01-2014 21h00";9;0;0;0;1;0;
"01-01-2014 21h15";17;0;7;0;1;0;
"01-01-2014 21h30";20;0;8;0;0;0;
"01-01-2014 21h45";20;0;9;0;0;0;
"01-01-2014 22h00";20;0;9;0;0;0;
"01-01-2014 22h15";12;0;2;0;1;0;
"01-01-2014 22h30";7;0;0;0;1;0;
"01-01-2014 22h45";5;0;0;0;2;0;
"01-01-2014 23h00";6;0;0;0;2;0;
"01-01-2014 23h15";5;0;0;0;2;0;
"01-01-2014 23h30";5;0;0;0;1;0;
"01-01-2014 23h45";5;0;0;0;2;0;
"01-01-2014 00h00";6;0;0;0;2;0;
"02-01-2014 00h15";5;0;0;0;2;0;
"02-01-2014 00h30";5;0;0;0;2;0;
"02-01-2014 00h45";5;0;0;0;2;0;
"02-01-2014 01h00";5;0;0;0;1;0;
"02-01-2014 01h15";5;0;0;0;2;0;
"02-01-2014 01h30";5;0;0;0;2;0;
"02-01-2014 01h45";5;0;0;0;2;0;
"02-01-2014 02h00";5;0;0;0;2;0;
"02-01-2014 02h15";5;0;0;0;1;0;
"02-01-2014 02h30";5;0;0;0;2;0;
"02-01-2014 02h45";5;0;0;0;2;0;
