"Data-Hora";"Activa";"Valida̤̣o";"Reactiva Indutiva";"Valida̤̣o";"Reactiva Capacitiva";"Valida̤̣o";
"01-01-2014 00h15";7;0;0;0;2;0;
"01-01-2014 00h30";9;0;0;0;1;0;
"01-01-2014 00h45";7;0;0;0;2;0;
"01-01-2014 01h00";7;0;0;0;2;0;
"01-01-2014 01h15";7;0;0;0;2;0;
"01-01-2014 01h30";7;0;0;0;2;0;
"01-01-2014 01h45";8;0;0;0;2;0;
"01-01-2014 02h00";7;0;0;0;2;0;
"01-01-2014 02h15";8;0;0;0;3;0;
"01-01-2014 02h30";8;0;0;0;2;0;
"01-01-2014 02h45";8;0;0;0;1;0;
"01-01-2014 03h00";7;0;0;0;3;0;
"01-01-2014 03h15";7;0;0;0;1;0;
"01-01-2014 03h30";7;0;0;0;2;0;
"01-01-2014 03h45";7;0;0;0;2;0;
"01-01-2014 04h00";7;0;0;0;2;0;
"01-01-2014 04h15";8;0;0;0;2;0;
"01-01-2014 04h30";7;0;0;0;2;0;
"01-01-2014 04h45";9;0;0;0;2;0;
"01-01-2014 05h00";7;0;0;0;2;0;
"01-01-2014 05h15";7;0;0;0;2;0;
"01-01-2014 05h30";8;0;0;0;2;0;
"01-01-2014 05h45";7;0;0;0;2;0;
"01-01-2014 06h00";7;0;0;0;2;0;
"01-01-2014 06h15";7;0;0;0;2;0;
"01-01-2014 06h30";9;0;0;0;2;0;
"01-01-2014 06h45";7;0;0;0;2;0;
"01-01-2014 07h00";7;0;0;0;2;0;
"01-01-2014 07h15";7;0;0;0;2;0;
"01-01-2014 07h30";7;0;0;0;2;0;
"01-01-2014 07h45";9;0;0;0;1;0;
"01-01-2014 08h00";7;0;0;0;2;0;
"01-01-2014 08h15";7;0;0;0;2;0;
"01-01-2014 08h30";7;0;0;0;2;0;
"01-01-2014 08h45";8;0;0;0;2;0;
"01-01-2014 09h00";8;0;0;0;2;0;
"01-01-2014 09h15";9;0;0;0;2;0;
"01-01-2014 09h30";7;0;0;0;2;0;
"01-01-2014 09h45";8;0;0;0;1;0;
"01-01-2014 10h00";7;0;0;0;2;0;
"01-01-2014 10h15";7;0;0;0;2;0;
"01-01-2014 10h30";7;0;0;0;2;0;
"01-01-2014 10h45";9;0;0;0;2;0;
"01-01-2014 11h00";8;0;0;0;2;0;
"01-01-2014 11h15";7;0;0;0;2;0;
"01-01-2014 11h30";7;0;0;0;2;0;
"01-01-2014 11h45";7;0;0;0;2;0;
"01-01-2014 12h00";8;0;0;0;1;0;
