"Data-Hora";"Activa";"Valida̤̣o";"Reactiva Indutiva";"Valida̤̣o";"Reactiva Capacitiva";"Valida̤̣o";
"01-01-2014 00h15";4;0;0;0;2;0;
"01-01-2014 00h30";4;0;0;0;1;0;
"01-01-2014 00h45";3;0;0;0;2;0;
"01-01-2014 01h00";4;0;0;0;1;0;
"01-01-2014 01h15";4;0;0;0;2;0;
"01-01-2014 01h30";3;0;0;0;2;0;
"01-01-2014 01h45";4;0;0;0;1;0;
"01-01-2014 02h00";4;0;0;0;2;0;
"01-01-2014 02h15";4;0;0;0;1;0;
"01-01-2014 02h30";4;0;0;0;2;0;
"01-01-2014 02h45";3;0;0;0;2;0;
"01-01-2014 03h00";4;0;0;0;1;0;
"01-01-2014 03h15";4;0;0;0;2;0;
"01-01-2014 03h30";3;0;0;0;1;0;
"01-01-2014 03h45";4;0;0;0;2;0;
"01-01-2014 04h00";4;0;0;0;2;0;
"01-01-2014 04h15";4;0;0;0;1;0;
"01-01-2014 04h30";3;0;0;0;2;0;
"01-01-2014 04h45";4;0;0;0;1;0;
"01-01-2014 05h00";4;0;0;0;2;0;
"01-01-2014 05h15";4;0;0;0;2;0;
"01-01-2014 05h30";3;0;0;0;1;0;
"01-01-2014 05h45";4;0;0;0;2;0;
"01-01-2014 06h00";4;0;0;0;1;0;
"01-01-2014 06h15";3;0;0;0;2;0;
"01-01-2014 06h30";4;0;0;0;2;0;
"01-01-2014 06h45";4;0;0;0;1;0;
"01-01-2014 07h00";4;0;0;0;2;0;
"01-01-2014 07h15";3;0;0;0;1;0;
"01-01-2014 07h30";4;0;0;0;2;0;
"01-01-2014 07h45";4;0;0;0;2;0;
"01-01-2014 08h00";4;0;0;0;1;0;
"01-01-2014 08h15";5;0;0;0;1;0;
"01-01-2014 08h30";5;0;0;0;1;0;
"01-01-2014 08h45";4;0;0;0;1;0;
"01-01-2014 09h00";5;0;0;0;1;0;
"01-01-2014 09h15";5;0;0;0;2;0;
"01-01-2014 09h30";5;0;1;0;1;0;
"01-01-2014 09h45";11;0;7;0;0;0;
"01-01-2014 10h00";10;0;7;0;0;0;
"01-01-2014 10h15";10;0;7;0;0;0;
"01-01-2014 10h30";8;0;3;0;0;0;
"01-01-2014 10h45";6;0;2;0;0;0;
"01-01-2014 11h00";6;0;2;0;0;0;
"01-01-2014 11h15";7;0;1;0;0;0;
"01-01-2014 11h30";6;0;2;0;0;0;
"01-01-2014 11h45";6;0;2;0;0;0;
"01-01-2014 12h00";6;0;2;0;0;0;
"01-01-2014 12h15";7;0;2;0;0;0;
"01-01-2014 12h30";6;0;2;0;0;0;
"01-01-2014 12h45";6;0;1;0;0;0;
"01-01-2014 13h00";7;0;2;0;0;0;
"01-01-2014 13h15";6;0;2;0;0;0;
"01-01-2014 13h30";6;0;2;0;0;0;
"01-01-2014 13h45";6;0;2;0;0;0;
"01-01-2014 14h00";7;0;1;0;0;0;
"01-01-2014 14h15";6;0;2;0;0;0;
"01-01-2014 14h30";6;0;2;0;0;0;
"01-01-2014 14h45";7;0;2;0;0;0;
"01-01-2014 15h00";6;0;2;0;0;0;
"01-01-2014 15h15";6;0;2;0;0;0;
"01-01-2014 15h30";6;0;2;0;0;0;
"01-01-2014 15h45";7;0;1;0;0;0;
"01-01-2014 16h00";6;0;2;0;0;0;
"01-01-2014 16h15";6;0;2;0;0;0;
"01-01-2014 16h30";7;0;2;0;0;0;
"01-01-2014 16h45";6;0;2;0;0;0;
"01-01-2014 17h00";6;0;2;0;0;0;
"01-01-2014 17h15";7;0;1;0;0;0;
"01-01-2014 17h30";6;0;2;0;0;0;
"01-01-2014 17h45";6;0;2;0;0;0;
"01-01-2014 18h00";6;0;2;0;0;0;
"01-01-2014 18h15";7;0;2;0;0;0;
"01-01-2014 18h30";6;0;2;0;0;0;
"01-01-2014 18h45";6;0;2;0;0;0;
"01-01-2014 19h00";6;0;1;0;0;0;
"01-01-2014 19h15";7;0;2;0;0;0;
"01-01-2014 19h30";6;0;2;0;0;0;
"01-01-2014 19h45";6;0;2;0;0;0;
"01-01-2014 20h00";7;0;2;0;0;0;
"01-01-2014 20h15";6;0;1;0;0;0;
"01-01-2014 20h30";6;0;2;0;0;0;
"01-01-2014 20h45";6;0;2;0;0;0;
"01-01-2014 21h00";7;0;2;0;0;0;
"01-01-2014 21h15";6;0;2;0;0;0;
"01-01-2014 21h30";6;0;2;0;0;0;
"01-01-2014 21h45";7;0;1;0;0;0;
"01-01-2014 22h00";6;0;2;0;0;0;
"01-01-2014 22h15";6;0;2;0;0;0;
"01-01-2014 22h30";6;0;2;0;0;0;
"01-01-2014 22h45";7;0;2;0;0;0;
"01-01-2014 23h00";6;0;2;0;0;0;
"01-01-2014 23h15";6;0;2;0;0;0;
"01-01-2014 23h30";7;0;2;0;0;0;
"01-01-2014 23h45";6;0;2;0;0;0;
"01-01-2014 00h00";6;0;1;0;0;0;
"02-01-2014 00h15";4;0;0;0;2;0;
"02-01-2014 00h30";3;0;0;0;1;0;
"02-01-2014 00h45";4;0;0;0;2;0;
"02-01-2014 01h00";4;0;0;0;2;0;
"02-01-2014 01h15";4;0;0;0;1;0;
"02-01-2014 01h30";3;0;0;0;2;0;
"02-01-2014 01h45";4;0;0;0;1;0;
"02-01-2014 02h00";4;0;0;0;2;0;
"02-01-2014 02h15";4;0;0;0;1;0;
"02-01-2014 02h30";3;0;0;0;2;0;
"02-01-2014 02h45";4;0;0;0;2;0;
"02-01-2014 03h00";4;0;0;0;1;0;
"02-01-2014 03h15";3;0;0;0;2;0;
"02-01-2014 03h30";4;0;0;0;2;0;
