"Data-Hora";"Activa";"Valida̤̣o";"Reactiva Indutiva";"Valida̤̣o";"Reactiva Capacitiva";"Valida̤̣o";
"01-01-2014 00h15";2;0;0;0;3;0;
"01-01-2014 00h30";3;0;0;0;2;0;
"01-01-2014 00h45";2;0;0;0;3;0;
"01-01-2014 01h00";3;0;0;0;2;0;
"01-01-2014 01h15";2;0;0;0;2;0;
"01-01-2014 01h30";3;0;0;0;3;0;
"01-01-2014 01h45";3;0;0;0;2;0;
"01-01-2014 02h00";2;0;0;0;2;0;
"01-01-2014 02h15";3;0;0;0;3;0;
"01-01-2014 02h30";2;0;0;0;2;0;
"01-01-2014 02h45";3;0;0;0;2;0;
"01-01-2014 03h00";2;0;0;0;3;0;
"01-01-2014 03h15";3;0;0;0;2;0;
"01-01-2014 03h30";3;0;0;0;2;0;
"01-01-2014 03h45";2;0;0;0;2;0;
"01-01-2014 04h00";3;0;0;0;3;0;
"01-01-2014 04h15";2;0;0;0;2;0;
"01-01-2014 04h30";3;0;0;0;2;0;
"01-01-2014 04h45";2;0;0;0;3;0;
"01-01-2014 05h00";3;0;0;0;2;0;
"01-01-2014 05h15";3;0;0;0;3;0;
"01-01-2014 05h30";2;0;0;0;2;0;
"01-01-2014 05h45";3;0;0;0;2;0;
"01-01-2014 06h00";2;0;0;0;3;0;
"01-01-2014 06h15";3;0;0;0;2;0;
"01-01-2014 06h30";3;0;0;0;2;0;
"01-01-2014 06h45";2;0;0;0;2;0;
"01-01-2014 07h00";3;0;0;0;3;0;
"01-01-2014 07h15";2;0;0;0;2;0;
"01-01-2014 07h30";3;0;0;0;2;0;
"01-01-2014 07h45";2;0;0;0;3;0;
"01-01-2014 08h00";3;0;0;0;2;0;
"01-01-2014 08h15";3;0;0;0;2;0;
"01-01-2014 08h30";2;0;0;0;3;0;
"01-01-2014 08h45";3;0;0;0;2;0;
"01-01-2014 09h00";2;0;0;0;2;0;
"01-01-2014 09h15";3;0;0;0;3;0;
"01-01-2014 09h30";3;0;0;0;2;0;
"01-01-2014 09h45";2;0;0;0;2;0;
"01-01-2014 10h00";3;0;0;0;2;0;
"01-01-2014 10h15";2;0;0;0;3;0;
"01-01-2014 10h30";3;0;0;0;2;0;
"01-01-2014 10h45";3;0;0;0;2;0;
"01-01-2014 11h00";2;0;0;0;3;0;
"01-01-2014 11h15";3;0;0;0;2;0;
"01-01-2014 11h30";2;0;0;0;2;0;
"01-01-2014 11h45";3;0;0;0;2;0;
"01-01-2014 12h00";3;0;0;0;3;0;
"01-01-2014 12h15";2;0;0;0;2;0;
"01-01-2014 12h30";3;0;0;0;2;0;
"01-01-2014 12h45";2;0;0;0;2;0;
"01-01-2014 13h00";3;0;0;0;3;0;
"01-01-2014 13h15";3;0;0;0;2;0;
"01-01-2014 13h30";2;0;0;0;2;0;
"01-01-2014 13h45";3;0;0;0;3;0;
"01-01-2014 14h00";2;0;0;0;2;0;
"01-01-2014 14h15";3;0;0;0;2;0;
"01-01-2014 14h30";3;0;0;0;2;0;
"01-01-2014 14h45";2;0;0;0;3;0;
"01-01-2014 15h00";3;0;0;0;2;0;
"01-01-2014 15h15";2;0;0;0;3;0;
"01-01-2014 15h30";3;0;0;0;2;0;
"01-01-2014 15h45";3;0;0;0;2;0;
"01-01-2014 16h00";2;0;0;0;2;0;
"01-01-2014 16h15";3;0;0;0;3;0;
"01-01-2014 16h30";3;0;0;0;2;0;
"01-01-2014 16h45";2;0;0;0;2;0;
"01-01-2014 17h00";3;0;0;0;3;0;
"01-01-2014 17h15";2;0;0;0;2;0;
"01-01-2014 17h30";3;0;0;0;2;0;
"01-01-2014 17h45";3;0;0;0;3;0;
"01-01-2014 18h00";2;0;0;0;2;0;
"01-01-2014 18h15";3;0;0;0;2;0;
"01-01-2014 18h30";2;0;0;0;3;0;
"01-01-2014 18h45";3;0;0;0;2;0;
"01-01-2014 19h00";2;0;0;0;2;0;
"01-01-2014 19h15";3;0;0;0;3;0;
"01-01-2014 19h30";3;0;0;0;2;0;
"01-01-2014 19h45";2;0;0;0;2;0;
"01-01-2014 20h00";3;0;0;0;2;0;
"01-01-2014 20h15";3;0;0;0;3;0;
"01-01-2014 20h30";2;0;0;0;2;0;
"01-01-2014 20h45";3;0;0;0;2;0;
"01-01-2014 21h00";2;0;0;0;3;0;
"01-01-2014 21h15";3;0;0;0;2;0;
"01-01-2014 21h30";3;0;0;0;2;0;
"01-01-2014 21h45";2;0;0;0;3;0;
"01-01-2014 22h00";3;0;0;0;2;0;
"01-01-2014 22h15";2;0;0;0;2;0;
"01-01-2014 22h30";3;0;0;0;3;0;
"01-01-2014 22h45";3;0;0;0;2;0;
"01-01-2014 23h00";2;0;0;0;2;0;
"01-01-2014 23h15";3;0;0;0;3;0;
"01-01-2014 23h30";2;0;0;0;2;0;
"01-01-2014 23h45";3;0;0;0;2;0;
"01-01-2014 00h00";3;0;0;0;3;0;
"02-01-2014 00h15";2;0;0;0;2;0;
"02-01-2014 00h30";3;0;0;0;2;0;
"02-01-2014 00h45";2;0;0;0;3;0;
"02-01-2014 01h00";3;0;0;0;2;0;
"02-01-2014 01h15";2;0;0;0;2;0;
"02-01-2014 01h30";3;0;0;0;3;0;
"02-01-2014 01h45";3;0;0;0;2;0;
"02-01-2014 02h00";2;0;0;0;2;0;
"02-01-2014 02h15";3;0;0;0;3;0;
"02-01-2014 02h30";2;0;0;0;2;0;
"02-01-2014 02h45";3;0;0;0;3;0;
"02-01-2014 03h00";3;0;0;0;2;0;
"02-01-2014 03h15";2;0;0;0;2;0;
"02-01-2014 03h30";3;0;0;0;3;0;
"02-01-2014 03h45";2;0;0;0;2;0;
"02-01-2014 04h00";3;0;0;0;2;0;
"02-01-2014 04h15";2;0;0;0;3;0;
"02-01-2014 04h30";3;0;0;0;2;0;
"02-01-2014 04h45";3;0;0;0;2;0;
"02-01-2014 05h00";2;0;0;0;2;0;
"02-01-2014 05h15";3;0;0;0;3;0;
"02-01-2014 05h30";2;0;0;0;2;0;
"02-01-2014 05h45";3;0;0;0;2;0;
"02-01-2014 06h00";2;0;0;0;3;0;
"02-01-2014 06h15";3;0;0;0;2;0;
"02-01-2014 06h30";3;0;0;0;2;0;
"02-01-2014 06h45";2;0;0;0;2;0;
"02-01-2014 07h00";3;0;0;0;3;0;
"02-01-2014 07h15";2;0;0;0;2;0;
"02-01-2014 07h30";3;0;0;0;3;0;
"02-01-2014 07h45";2;0;0;0;2;0;
"02-01-2014 08h00";3;0;0;0;2;0;
"02-01-2014 08h15";3;0;0;0;2;0;
"02-01-2014 08h30";2;0;0;0;3;0;
"02-01-2014 08h45";3;0;0;0;2;0;
"02-01-2014 09h00";3;0;0;0;2;0;
"02-01-2014 09h15";19;0;0;0;7;0;
"02-01-2014 09h30";18;0;0;0;7;0;
"02-01-2014 09h45";18;0;0;0;7;0;
"02-01-2014 10h00";21;0;0;0;7;0;
"02-01-2014 10h15";30;0;0;0;9;0;
"02-01-2014 10h30";31;0;0;0;9;0;
"02-01-2014 10h45";32;0;0;0;9;0;
"02-01-2014 11h00";31;0;0;0;9;0;
"02-01-2014 11h15";31;0;0;0;8;0;
"02-01-2014 11h30";31;0;0;0;9;0;
"02-01-2014 11h45";31;0;0;0;9;0;
"02-01-2014 12h00";32;0;0;0;10;0;
"02-01-2014 12h15";31;0;0;0;9;0;
"02-01-2014 12h30";31;0;0;0;8;0;
"02-01-2014 12h45";31;0;0;0;9;0;
"02-01-2014 13h00";33;0;0;0;9;0;
"02-01-2014 13h15";33;0;0;0;9;0;
"02-01-2014 13h30";33;0;0;0;9;0;
"02-01-2014 13h45";33;0;0;0;9;0;
"02-01-2014 14h00";33;0;0;0;8;0;
"02-01-2014 14h15";33;0;0;0;9;0;
"02-01-2014 14h30";33;0;0;0;8;0;
"02-01-2014 14h45";31;0;0;0;10;0;
"02-01-2014 15h00";31;0;0;0;9;0;
"02-01-2014 15h15";31;0;0;0;9;0;
"02-01-2014 15h30";31;0;0;0;8;0;
"02-01-2014 15h45";32;0;0;0;9;0;
"02-01-2014 16h00";31;0;0;0;9;0;
"02-01-2014 16h15";32;0;0;0;9;0;
"02-01-2014 16h30";31;0;0;0;9;0;
"02-01-2014 16h45";31;0;0;0;9;0;
"02-01-2014 17h00";31;0;0;0;9;0;
"02-01-2014 17h15";32;0;0;0;9;0;
"02-01-2014 17h30";31;0;0;0;9;0;
"02-01-2014 17h45";31;0;0;0;9;0;
"02-01-2014 18h00";31;0;0;0;9;0;
"02-01-2014 18h15";32;0;0;0;9;0;
"02-01-2014 18h30";31;0;0;0;9;0;
"02-01-2014 18h45";31;0;0;0;9;0;
"02-01-2014 19h00";31;0;0;0;9;0;
"02-01-2014 19h15";31;0;0;0;9;0;
